date,account_balance
2018-06-17,128509.26
2018-06-18,128509.26
2018-06-19,128509.26
2018-06-20,128509.26
2018-06-21,128509.26
2018-06-22,128509.26
2018-06-23,128509.26
2018-06-24,128509.26
2018-06-25,128509.26
2018-06-26,128509.26
2018-06-27,128509.26
2018-06-28,128509.26
2018-06-29,128509.26
2018-06-30,128509.26
2018-07-01,128509.26
2018-07-02,128509.26
2018-07-03,128509.26
2018-07-04,128509.26
2018-07-05,129174.67
2018-07-06,129174.67
2018-07-07,129174.67
2018-07-08,129174.67
2018-07-09,129174.67
2018-07-10,129174.67
2018-07-11,129174.67
2018-07-12,129174.67
2018-07-13,129174.67
2018-07-14,129174.67
2018-07-15,129174.67
2018-07-16,129174.67
2018-07-17,129174.67
2018-07-18,127043.72
2018-07-19,127043.72
2018-07-20,127043.72
2018-07-21,127043.72
2018-07-22,127043.72
2018-07-23,127043.72
2018-07-24,127043.72
2018-07-25,127043.72
2018-07-26,127043.72
2018-07-27,127043.72
2018-07-28,127043.72
2018-07-29,127043.72
2018-07-30,127043.72
2018-07-31,127043.72
2018-08-01,127043.72
2018-08-02,127043.72
2018-08-03,127043.72
2018-08-04,127043.72
2018-08-05,127043.72
2018-08-06,127043.72
2018-08-07,128992.9
2018-08-08,128992.9
2018-08-09,128992.9
2018-08-10,128992.9
2018-08-11,128992.9
2018-08-12,128992.9
2018-08-13,128992.9
2018-08-14,128992.9
2018-08-15,128992.9
2018-08-16,128992.9
2018-08-17,128992.9
2018-08-18,128992.9
2018-08-19,128992.9
2018-08-20,128992.9
2018-08-21,128992.9
2018-08-22,128992.9
2018-08-23,128992.9
2018-08-24,128992.9
2018-08-25,128992.9
2018-08-26,128992.9
2018-08-27,128992.9
2018-08-28,128992.9
2018-08-29,128992.9
2018-08-30,128992.9
2018-08-31,128992.9
2018-09-01,128992.9
2018-09-02,128992.9
2018-09-03,128992.9
2018-09-04,128992.9
2018-09-05,128992.9
2018-09-06,128992.9
2018-09-07,128992.9
2018-09-08,128992.9
2018-09-09,128992.9
2018-09-10,128992.9
2018-09-11,128992.9
2018-09-12,128992.9
2018-09-13,128992.9
2018-09-14,128992.9
2018-09-15,128992.9
2018-09-16,128992.9
